x,y
0.00,38.17
1.00,39.38
2.00,40.59
3.00,41.80
4.00,43.01
5.00,44.22
6.00,45.43
7.00,46.64
8.00,47.85
9.00,49.06
10.00,50.27
11.00,51.48
12.00,52.69
13.00,53.90
14.00,55.11
15.00,56.32
16.00,57.53
17.00,58.74
18.00,59.95
19.00,61.16
20.00,62.37
21.00,63.58
22.00,64.79
23.00,66.00
24.00,67.21
25.00,68.42
26.00,69.63
27.00,70.84
28.00,72.05
29.00,73.26
30.00,74.47
31.00,75.68
32.00,76.89
33.00,78.10
34.00,79.31
35.00,80.52
36.00,81.73
37.00,82.94
38.00,84.15
39.00,85.36
40.00,86.57
41.00,87.78
42.00,88.99
43.00,90.20
44.00,91.41
45.00,92.62
46.00,93.83
47.00,95.04
48.00,96.25
49.00,97.46
50.00,98.67
51.00,99.88
52.00,101.09
53.00,102.30
54.00,103.51
55.00,104.72
56.00,105.93
57.00,107.14
58.00,108.35
59.00,109.56
60.00,110.77
61.00,111.98
62.00,113.19
63.00,114.40
64.00,115.61
65.00,116.82
66.00,118.03
67.00,119.24
68.00,120.45
69.00,121.66
70.00,122.87
71.00,124.08
72.00,125.29
73.00,126.50
74.00,127.71
75.00,128.92
76.00,130.13
77.00,131.34
78.00,132.55
79.00,133.76
80.00,134.97
81.00,136.18
82.00,137.39
83.00,138.60
84.00,139.81
85.00,141.02
86.00,142.23
87.00,143.44
88.00,144.65
89.00,145.86
90.00,147.07
91.00,148.28
92.00,149.49
93.00,150.70
94.00,151.91
95.00,153.12
96.00,154.33
97.00,155.54
98.00,156.75
99.00,157.96
