x,y
0.00,34.67
1.00,36.17
2.00,37.67
3.00,39.17
4.00,40.67
5.00,42.17
6.00,43.67
7.00,45.17
8.00,46.67
9.00,48.17
10.00,49.67
11.00,51.17
12.00,52.67
13.00,54.17
14.00,55.67
15.00,57.17
16.00,58.67
17.00,60.17
18.00,61.67
19.00,63.17
20.00,64.67
21.00,66.17
22.00,67.67
23.00,69.17
24.00,70.67
25.00,72.17
26.00,73.67
27.00,75.17
28.00,76.67
29.00,78.17
30.00,79.67
31.00,81.17
32.00,82.67
33.00,84.17
34.00,85.67
35.00,87.17
36.00,88.67
37.00,90.17
38.00,91.67
39.00,93.17
40.00,94.67
41.00,96.17
42.00,97.67
43.00,99.17
44.00,100.67
45.00,102.17
46.00,103.67
47.00,105.17
48.00,106.67
49.00,108.17
50.00,109.67
51.00,111.17
52.00,112.67
53.00,114.17
54.00,115.67
55.00,117.17
56.00,118.67
57.00,120.17
58.00,121.67
59.00,123.17
60.00,124.67
61.00,126.17
62.00,127.67
63.00,129.17
64.00,130.67
65.00,132.17
66.00,133.67
67.00,135.17
68.00,136.67
69.00,138.17
70.00,139.67
71.00,141.17
72.00,142.67
73.00,144.17
74.00,145.67
75.00,147.17
76.00,148.67
77.00,150.17
78.00,151.67
79.00,153.17
80.00,154.67
81.00,156.17
82.00,157.67
83.00,159.17
84.00,160.67
85.00,162.17
86.00,163.67
87.00,165.17
88.00,166.67
89.00,168.17
90.00,169.67
91.00,171.17
92.00,172.67
93.00,174.17
94.00,175.67
95.00,177.17
96.00,178.67
97.00,180.17
98.00,181.67
99.00,183.17
